dates,Portfolio,Market,Size,Value,Momentum
2006m7,0.0173013,0.0093706,-0.0174198,0.0219863,0.0041219
2006m8,0.0270663,0.0032344,0.0085457,-0.0084286,-0.0018528
2006m9,0.0346675,0.0117561,0.0217732,0.0252743,-0.001546
2006m10,0.0095546,0.0262933,-0.0000887,0.0405558,0.007609
2006m11,-0.023541,-0.0069791,0.024119,0.019522,0.0253846
2006m12,-0.0010114,0.0291852,0.032764,0.0126495,0.0371886
2007m1,0.0125986,-0.0068647,0.0051805,-0.0080689,-0.0095937
2007m2,-0.0109572,-0.0060246,-0.0013155,-0.0200221,0.0031344
2007m3,-0.0024233,0.029071,0.0035721,-0.0078799,0.0087789
2007m4,0.0241912,0.0200437,-0.0056737,0.0007119,0.0021062
2007m5,0.0027921,0.0236631,-0.0169125,0.0133995,0.0068443
2007m6,-0.0212774,-0.0122571,-0.0500722,0.0088265,-0.030632
2007m7,-0.0385864,-0.0379044,0.0326548,-0.0170503,0.0045649
2007m8,-0.0585777,-0.0073823,-0.0271862,-0.0068047,-0.008252
2007m9,-0.0250398,0.0143239,-0.0730344,-0.0036898,0.0701609
2007m10,0.0215216,0.0388892,0.0149339,-0.002285,0.0333629
2007m11,-0.0935248,-0.0518644,-0.0751495,-0.0295585,0.0536626
2007m12,-0.0067549,-0.001664,-0.0234069,-0.00066,0.038298
2008m1,-0.0662111,-0.0907338,0.0088625,0.0035068,-0.0161882
2008m2,0.0288214,0.0036715,0.0381693,-0.0113324,0.065338
2008m3,-0.0473738,-0.0244761,0.0078204,-0.0166789,-0.0050857
2008m4,-0.023258,0.0585888,-0.0523734,0.0133559,0.064221
2008m5,0.0089786,-0.0061064,-0.013625,-0.0172831,0.0711319
2008m6,-0.0375062,-0.0748366,-0.018227,-0.03203,0.1115039
2008m7,-0.1030894,-0.0401682,0.0063027,-0.0641072,-0.0606157
2008m8,0.062283,0.0458806,0.0005382,0.0025135,-0.0824817
2008m9,-0.1522175,-0.1360605,-0.0073883,-0.0395697,-0.0224648
2008m10,-0.1301561,-0.1219063,-0.1182887,-0.0409717,0.1406416
2008m11,-0.0411628,-0.0180523,-0.0640173,-0.0066723,0.0441022
